"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Shash\Desktop\book-discovery\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Shash\Desktop\book-discovery\package-lock.json", "JSON", 0, 0, 17528, 0, 0, 0, 0, 1, 17529
"c:\Users\Shash\Desktop\book-discovery\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 1, 44
"c:\Users\Shash\Desktop\book-discovery\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\Shash\Desktop\book-discovery\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Shash\Desktop\book-discovery\src\App.css", "CSS", 0, 98, 0, 0, 0, 0, 4, 14, 116
"c:\Users\Shash\Desktop\book-discovery\src\App.js", "JavaScript", 37, 0, 0, 0, 0, 0, 1, 7, 45
"c:\Users\Shash\Desktop\book-discovery\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Shash\Desktop\book-discovery\src\index.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Shash\Desktop\book-discovery\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\Shash\Desktop\book-discovery\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Shash\Desktop\book-discovery\src\pages\Film.js", "JavaScript", 190, 0, 0, 0, 0, 0, 4, 38, 232
"c:\Users\Shash\Desktop\book-discovery\src\pages\Home.js", "JavaScript", 167, 0, 0, 0, 0, 0, 0, 38, 205
"c:\Users\Shash\Desktop\book-discovery\src\pages\Navbar.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 16, 73
"c:\Users\Shash\Desktop\book-discovery\src\pages\Search.js", "JavaScript", 134, 0, 0, 0, 0, 0, 1, 28, 163
"c:\Users\Shash\Desktop\book-discovery\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Shash\Desktop\book-discovery\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Shash\Desktop\book-discovery\tailwind.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 625, 113, 17596, 38, 20, 1, 41, 192, 18626
